,prompt,response
106," I am Bruno, and my age is 46. I work as a graphic designer. My residential address is 20/418, 2nd Cross Street, Vimala Nagar, Cosmos-100
Name: Waves 
Address:2nd Cross Street, Simala Nagar, Cosmos-60

Name: Surrealz 
Address: 2nd Cross Street, Vimala Nagar, Cosmos-25

","Thanks, here’s a draft complaint that you can further modify according to your requirements: 
Complaint 
MoP (Memorandum of Parties) 
Affidavit 
"
107," Thanks
","Is there anything else you want me to assist you with? 
"
108," No, thanks 
","Welcome. Happy to help. I hope you found this conversation useful. Please feel free to contact us again in case of any queries in the future. 
Meanwhile, you can log on to https://consumeraffairs.nic.in/ , or dial 1800-11-4000 for more information. 
Stay Alert, Stay Safe 
Thank you 

 
"
109," Hi, I need help filing a consumer complaint regarding an issue I'm facing with a finance company.
","Could you please explain the complete details about your issue?

"
110," Okay, here is the background - My name is Syed Sidiq Pasha and I am an auto driver residing in Mahabubnagar. In November 2016, I purchased an auto rickshaw bearing registration number TS 06 UB 3143 from a dealer named Samskruthi Automobiles.

","</INST> What problem did you face ?

"
111," This auto was originally purchased by another person named Varanasi Ashanna. He had obtained finance from a company called Fortune Integrated Assets Finance Ltd to buy the auto on loan. Ashanna could not pay the monthly instalments for the loan regularly. So Fortune Integrated seized the auto from him. That's when Samskruthi Automobiles, who is an agent for Fortune Integrated, sold the seized auto to me in November 2016 and according to the terms of agreement I would pay the remaining loan instalments to Fortune Integrated in monthly payments.

","Understood. Please provide more details about the terms of payment for purchasing this pre-used auto from Samskruthi Automobiles.

"
112," As per the agreement, I had to pay Fortune Integrated the balance loan amount in 30 monthly instalments of Rs. 5,800 each. I paid 4 instalments upfront at the time of purchase in November 2016.I paid them regularly the remaining instalment for over 2 years.

","Great. Please confirm how many instalments you paid in total before any issue arose?

"
113," I paid 27 instalments promptly till March 2019, paying almost Rs. 1,56,600. Then I approached Samskruthi Automobiles requesting them to accept the remaining 3 instalments in full so I could get the auto registration transferred to my name.But Samskruthi Automobiles started behaving strangely at that time. They said they had misplaced my agreement and kept delaying and postponing the matter whenever I approached them.

","Did you follow up with them again after this?

"
114," Yes, I followed up with them continuously after that for almost 1 year but they kept stalling. And then in February 2020, they seized my auto arbitrarily without any prior notice.Then they started demanding additional ₹78,874 for releasing my auto despite having already received ₹1,56,600 from me.

","Did they explain why they were demanding this additional amount?

"
115," They gave some vague reasons that I had pending instalments and interest due. But it was all lies to try and extract more money from me. I had already paid as per the original agreement terms.

","In that case we should send a legal notice to the opposite party. May I draft a legal notice for you.

"
116," Yes, Kindly draft the notice. 

","Kindly note, in order to draft the legal notice, I will need your proper address and the address of the opposite party.

"
117," My address is Syed Sidiq Pasha, S/o Syed Yousuf, Aged 52 years, Occ: Auto Driver, R/o H.No.4-2-16/6, Ramaiah Bowli, Mahabubnagar town & district and the opposite party address is The Authorised Signatory, Samskruthi Automobiles, RSP with: Fortune Integrated Assets Finance Ltd., #5-85/20A, Srinivasa Colony, Mahabubnagar town. 


","Here is the draft notice. Remember to put your signature before you send it in hard copy and put e-signature in case you are sending the soft copy. .In case you get any problem in the above process or have any doubt, I would suggest you to call the National Consumer Helpline at 1800-11-4000 for information, advice, or guidance on complaints. You can also call 14404 or send a message to 8130009809. You can also register a complaint through the NCH app. Is there anything else you need?
 Do you also need me to draft the complaint? 

"
118," I have already approached them so many times I do not think notice will have any impact on the conduct of the opposite party. Please go ahead and draft the initial complaint. I'll review it and provide my inputs.

","Could you please tell what relief you expect from the court, do you want your vehicle back or do you need your money as compensation for deficiency in service on the part of the opposite party. This will help me to specify the remedy in the complaint.

"
119," I want my vehicle back and some compensation for the loss I have suffered due to arbitrary seized possession of my vehicle.

","Thanks for sharing the address. With respect to the jurisdiction, the District Consumer Dispute Redressal Commission at Mahabubnagar will have jurisdiction as both the parties have residence and office at Mahabubnagar. I hope this works for you. 

"
120," Yes, the jurisdiction of District Consumer Dispute Redressal Commission at Mahabubnagar would work fine for me.  

","Sure, I'll draft the initial version of the consumer complaint for your review covering all the details we discussed today. Please share any supporting documents that you may have regarding your purchase, payments made, seizure notice etc. along with a copy of your agreement. This will help me represent the facts better.

"
121," I have uploaded the documents here. 
","Thank you. On the basis of the documents that you have given me, I have drafted a pre-filled complaint that you can access here. Please fill in the details that have been left blank, such as the date and your signature. In addition to the complaint, you must also submit an affidavit and a document called the “Memorandum of Parties”. Do you want me to provide you with the pre-filled versions of the same?

"
122," Yes, it will be great if you can do that as well.
","You can access the Affidavit here and the Memorandum of Parties here. You are required to fill in the details that have been left empty in both the documents. Further, you must get the affidavit notarised. In case of any queries regarding how you can get the Affidavit notarised, feel free to approach me anytime. After filling all the documents and getting the affidavit notarised, you can file your complaint on E-daakhil, the portal for consumer redressal. Do you want me to provide you with a step-by-step guide on how to file your complaint on E-daakhil?
"
123," Yes, it will be great if you can give me a step-by-step guide on how I can file this.
","You have to follow these steps in order to file a complaint:-
Create an account on E-daakhil.
Verify your email address and login
Go to “Consumer Complaint” and accept the terms and conditions by clicking the “accept” button after carefully reading the terms. If you have any queries regarding the terms, please let me know.
Click “Consumer Complaint” and enter the claim amount that you are seeking.  
Select Telangana as the State and Mahaboob nagar as the district. Click continue to proceed to the “Case Details” page.
On the “Case Details” page, enter all the necessary details and in case of any queries, please let me know.
In the “Party Name” section, enter the name of the parties. In the “Advocate” Section, enter the details of your advocate and if you do not have an advocate, you can leave it blank.
 In the “Complaint Section”, you can provide the following as your complaint:-
“The complainant purchased the auto from Samskruthi Automobiles in November 2016 and paid 27 installments amounting to ₹1,56,600 by March 2019. Despite follow ups, they arbitrarily seized your auto in Feb 2020 without notice. And then demanded additional ₹78,874 for release without justification.”
In the next section, enter the necessary details and attach a filled copy of the Complaint and the Affidavit along with the Memorandum of Parties. 
In the next section, verify the details of your complaint and submit your complaint.
On the “Pending Complaints” page, you will be required to pay the necessary fees.  
Please note that under the Consumer Protection Act 2019, the Consumer Court can request the parties to go for mediation. However, both parties must agree for the matter to be sent for mediation. However, if the parties do not arrive at an amicable settlement, the matter is sent back to the court.
"
124," Got it. I will not agree for mediation.
","In that case, the consumer court in Mahabubnagar has to proceed with the case
"
125," Thank you very much for the assistance!
","You are welcome. Feel free to raise further queries anytime. Best wishes.

"
126," I was cheated by a real estate agency 
","That should not be the case. I would try to be of as much help as possible. Can you please tell me more about the issues that you are facing?
"
127," Yes, thank you. In 2005, the local agents Mr. and Mrs. Nanoskar convinced me that Parees Enterprises was very profitable. Trusting them, I ended up investing a total Rs. 2,88,225 over the next few years.
","Do you remember the dates and amounts you invested?
"
128," Let me recall...I invested on 10/02/10 an amount of Rs. 96,075/-, then on 10/02/15 an amount of Rs. 96,075/-  and finally on 10/02/20 an amount: Rs. 96,075/- 
","Okay. Did they provide you with any receipts for these investments?
"
129," Yes, they provided some handwritten receipts on Parees letterhead for the amounts I paid. I can share copies.
","That will be helpful. So what was the maturity date they promised?
"
130," They said the investment will mature in 2020 and I can redeem my money after that. But when I approached them in early 2020, they started avoiding me.
","Did you issue any written communication to them for the redemption?
"
131," I sent them multiple emails in 2020 but they simply ignored all communication. It has been over 2 years now but I have not received a single rupee back.
","Okay, thank you for the information. You can file a complaint before the consumer court having jurisdiction to hear the case. For that, you must first send a fifteen-day notice to Parees Enterprises. The same can be sent electronically or by post. Or else, you can also contact the  National  Consumer Helpline using the helpline number 1800-11-4000. The Consumer Helpline will give assistance regarding how you can approach the present dispute. What would you prefer?
"
132," I prefer sending a legal notice. 
","Certainly. I will need some more information from you related to the matter. Can you please tell me the following: your full name with address, age, and occupation, and the registered office address of the Telephone company as well as the details of your landline phone?
"
133," Sure. 1. Mrs. Aparna Malvankar W/o Gurudas Malvankar, aged 52 years, married Housewife, R/o H No. 1211, Bammon Wada Siolim, Bardez Goa, I am a doctor by profession 2. M/s Parees Enterprises Corporation Ltd. Represented by its agent cum Partners and Directors 2nd Floor, Philip Mansion, Opposite KTC Bus Stand, Vasco-Da-Gama, Goa	
","Thank you. I would need some more information from you related to the matter to assist you better. What is the relief that you would wish to pursue?
"
134," I would want the maturity amount of Rs. 2,88,225/- as promised and compensation for mental harassment as well as litigation costs. 
","Thank you for supplying the information! Please find the notice for filing of consumer complaint here. Please note that these are templates that may require certain corrections or modifications and certain details (particularly the date and signature) will need to be filled at your end. 
"
135," Thank you. I want to file a consumer complaint; can you guide me?
","Sure! Since the total amount you would claim would be Rs. 2,88,225/- which is less than Fifty Lakh rupees, the complaint will have to be filed in a District Commission. You, as a complainant, reside in Bardez district and the cause of action arises in Bardez. The opposite party carries on business in Vasco-Da-Gama. You have the option to file the complaint to the North Goa District Consumer Disputes Redressal Commission.
"
136," Okay, please give details about the complaint process 
","Sure. Below is the process for filing a consumer complaint at the North Goa District Consumer Disputes Redressal Commission for the described dispute through the e-Daakhil platform:
1.	Create an Account: If not already registered, create an account on the e-Daakhil portal.
2.	Email Verification: Verify your email address by clicking the link sent to your registered email. Then:
3.	Login: Use your credentials to login to the portal.
4.	Start New Case: Click on 'File a New Case' from the Filing dropdown menu to initiate your complaint. 
5.	Click consumer complaint.
6.	Read the disclaimer and click “accept”.
7.	Click consumer complaint.
8.	Enter the amount you as compensation in the claim amount. 
9.	Select Goa as the state and North  Goa as the district. Click continue.
10.	You will now land on the Case details page. Enter your name, your address, and your mobile number in the complainant's section. If you want notifications on your email address, you can write your email address.
11.	Enter Parees Enterprises Corporation Ltd., 2nd Floor, Philip mansion, opposite KTC Bus Stand, Vasco Da Gama, Goa in the Opposite party name section. Ground Floor, Dempo House. Select the state and district of the registered address. 
12.	In the Complainant Advocate section, enter details of your advocate. You can leave it blank if you do not have an advocate. 
13.	In the Complaint section, write the following: 
“In 2005, the local agents, Mr. and Mrs. Nanoskar convinced me that Opposite Party is a very profitable investment company. Trusting them, I ended up investing around Rs. 2,88,225 over a few years through cheque. But after the maturity date in 2020, they started avoiding me. I have not received a single rupee back till now.”
14.	Click continue. You will be taken to the complaint details page. You can enter the following information: Complainant name, complainant address, opposite party name, and the opposite party, click save and continue. 
15.	Upload Documents: Attach your index, complaint, memo of parties, affidavit, and any other evidence you have that you intend to rely on. 
16.	Click continue and verify the details of your complaint. Once you are satisfied, you can submit your complaint.
17.	You will now be taken to the pending complaints page, where you can pay the fees for your complaint. 
Do you also want me to draft a complaint letter for you?

"
137," Yes, that would be really helpful.

","Excellent, I've generated a pre-filled complaint for you with all the details you've provided. You can find it here. Once downloaded, fill in all blank details, review and sign the complaint and verification before a notary public. Then scan the document as a pdf and upload it to the e-daakhil upload documents section. You also need to submit an affidavit and a memo of parties. Do you want me to generate that now?
 
"
138," Yes, Please. 

","Sure. Here is a draft affidavit and Memorandum of Parties. Please print and verify the names and addresses on the memorandum of parties. For the affidavit, please sign it before a notary public and have the affidavit notarized. Both documents should be scanned and uploaded to the e-daakhil portal. Do you have any other questions or is there more information you'd like?

"
139," No, that's all for now. Thanks.

","You're welcome. If you have further questions or need more guidance later, don't hesitate to reach out. Good luck with your complaint.



"
140," Hi. I want to file a complaint against a two-wheeler dealership regarding an issue I faced during purchase of a new vehicle.
","Okay. I can help you with filing a consumer complaint. But first, let me understand the full details of your case. Could you please provide me some basic information like your name, age, address etc?
"
141," Sure. My name is Sura Dasharatha and I am 35 years old. I reside at House Number 3-138, Peddamandadi Village, Peddamandadi Mandal, Wanaparthy District, Telangana - 509103.
","Thank you for providing the details. Now, please explain what the complaint is about and what happened exactly?
"
142," So I purchased a new two-wheeler - a Honda CD 110 from a dealership named Narmada Honda located at Polytechnic Road, Wanaparthy. The authorized dealer's name is Bondili Venugopal Singh. On 15th November 2020, I paid Rs. 30,000 as downpayment and opted for financing the remaining amount from a bank.
","Okay. Please provide me the full address of the dealership and the name of the authorized dealer against whom you want to file the complaint.
"
143," The dealership address is - Narmada Honda, #44-24/19, 20, 21, Raja Rameshwar Rao Complex, Polytechnic Road, Wanaparthy, Telangana - 509103. And the authorized dealer is Mr. Bondili Venugopal Singh, son of Bondili Madan Mohan Singh.
","Noted. You can proceed to explain the issue you faced.
"
144," At the time of purchasing the two-wheeler, the dealer offered a Diwali gift hamper of a LED TV worth Rs. 13,999. This offer was part of their festive promotion and was advertised through pamphlets. On the day of delivery of my vehicle, they provided a LED TV worth only Rs. 6,000 instead of the promised Rs. 13,999 LED TV.
","Okay. So they had advertised an offer but did not fulfill it properly during delivery. Did you speak to them about this at that time?
"
145," Yes, when they gave me the Rs. 6,000 LED TV, I immediately informed that this is not as per the promised offer. I requested them to provide the LED TV worth Rs. 13,999 as advertised. But they refused. I made many requests later on also, but they did not agree to give the correct LED TV per the offer.
","Hmm...I understand this must have been very disappointing and caused you inconvenience. What was their response when you requested them to honor the original offer?
"
146," They simply denied my request and said they can't provide the higher value LED TV. No proper explanation was given in spite of my multiple requests through phone calls and personal visits.
","Did you make the requests to them in writing via email or letter?
"
147," No, I did not write to them formally but I have proof of the offer they made in the pamphlet and the lower value LED TV bill which clearly shows their deficiency in service.
","Okay thanks for explaining it clearly. Just a couple more questions - when exactly did you purchase the two-wheeler and when did you get delivery? Also, do you have the purchase invoice and any other documents related to this transaction?
"
148," I purchased the two-wheeler on 15th November 2020 and took delivery also on the same date. Yes I have the original purchase invoice, the booking form copy and a copy of the promotional Diwali offer pamphlet given by the dealership. I can provide you copies of these documents.
","That would be very helpful. Please provide me scanned copies of the invoice, booking form/receipt, promotional pamphlet and any other proofs related to this purchase. These documents will support your complaint.
"
149," Sure, I will send you soft copies of all the documents by email. I also have the original hard copies if required later.
","Wonderful. This is very good documentation to prove your case. Just a couple more questions - have you filed any formal complaints against the dealership before approaching me? If yes, please provide details.
"
150," No I have not filed any formal complaint against them anywhere yet. You are the first one I am approaching for help to resolve this issue.
","Okay thanks for clarifying. Last question - how much compensation or relief amount are you seeking from the dealership through your complaint?
"
151," I want them to provide the LED TV worth Rs. 13,999 as per their promotional offer. I do not have any specific compensation amount in mind, but I believe I should be reimbursed for the mental agony and harassment caused by their unfair trade practice. I also want to be compensated for the costs involved in filing this complaint.
","Duly noted. Thank you Mr. Sura for providing all the details clearly. I now have a good understanding of your grievance and the issue. I will draft a consumer complaint on your behalf highlighting all these points and also suggesting appropriate compensation and relief amounts. I will send it to you for review before we proceed to file it with the consumer court. Do let me know if you need any other assistance.
</INST> Thank you. On the basis of the documents that you have given me, I have drafted a pre-filled complaint that you can access here. Please fill in the details that have been left blank, such as the date and your signature. In addition to the complaint, you must also submit an affidavit and a document called the “Memorandum of Parties”. Do you want me to provide you with the pre-filled versions of the same?
"
152," Yes, it will be great if you can do that as well.
","You can access the Affidavit here and the Memorandum of Parties here. You are required to fill in the details that have been left empty in both the documents. Further, you must get the affidavit notarised. In case of any queries regarding how you can get the Affidavit notarised, feel free to approach me anytime. After filling all the documents and getting the affidavit notarised, you can file your complaint on E-daakhil, the portal for consumer redressal. Do you want me to provide you with a step-by-step guide on how to file your complaint on E-daakhil?
"
153," Yes, it will be great if you can give me a step-by-step guide on how I can file this.
","You have to follow these steps in order to file a complaint:-
Create an account on E-daakhil.
Verify your email address and login
Go to “Consumer Complaint” and accept the terms and conditions by clicking the “accept” button after carefully reading the terms. If you have any queries regarding the terms, please let me know.
Click “Consumer Complaint” and enter the claim amount that you are seeking.  
Select Telangana as the State and Mahaboob nagar as the district. Click continue to proceed to the “Case Details” page.
On the “Case Details” page, enter all the necessary details and in case of any queries, please let me know.
In the “Party Name” section, enter the name of the parties. In the “Advocate” Section, enter the details of your advocate and if you do not have an advocate, you can leave it blank.
 In the “Complaint Section”, you can provide the following as your complaint:-
“Sura Dasharatha, the complainant, alleges that after purchasing a CD 110 two-wheeler from Narmada Honda on 15.11.2020, he was promised a Diwali gift hamper, including an LED TV worth Rs. 13,999. However, upon delivery, the Opposite Party provided an LED TV worth only Rs. 6,000, despite several requests for the promised amount. This constitutes deficiency in service and unfair trade practice, causing financial losses and mental agony to the complainant. The complaint seeks the LED TV as per the original offer, compensation for suffering, costs of proceedings, and any other just orders from the District Consumer Disputes Redressal Commission in Mahabubnagar”
In the next section, enter the necessary details and attach a filled copy of the Complaint and the Affidavit along with the Memorandum of Parties. 
In the next section, verify the details of your complaint and submit your complaint.
On the “Pending Complaints” page, you will be required to pay the necessary fees.  
Please note that under the Consumer Protection Act 2019, the Consumer Court can request the parties to go for mediation. However, both parties must agree for the matter to be sent for mediation. However, if the parties do not arrive at an amicable settlement, the matter is sent back to the court.
"
154," Got it. I will not agree for mediation.
","In that case, the consumer court in Mahabubnagar has to proceed with the case.
"
155," Got it. Thank you very much!
",You are welcome. Feel free to raise further queries anytime. Best wishes.
156," Hi Chatbot, I purchased a water purifier online last year which has been giving me trouble since day 1. 

","I understand, let's take this step-by-step so I can gather all the details. Could you start by providing your name, age, occupation and location details?

"
157," Sure, my name is Gouni Consumer Reddy, I'm 20 years old and currently a student. I reside at House no. 16-61, Sai Ram Veterinary Medical Stores, Opposite Bus Stand In-gate, Srinivasa Colony, Atmakur Mandal in Wanaparthy District.

","Thank you for the introduction Mr. Gouni Consumer Reddy. Can you now explain the purchasing details as to the water purifier you had purchased?
"
158," I purchased an Aquasure Delight RO+UV+MTDS water purifier made by Eureka Forbes Limited. I bought it online through Amazon India on 6th August 2020 for the amount of Rs. 8,990/-. There was a delay in installation due to Covid restrictions at that time. The installation happened only on 25th August 2020, almost 20 days after delivery. But as soon as it was installed I noticed there was some leakage happening from the purifier. I complained about this defect on the same day, 25th August 2020.

","What response did you get from the company when you first complained about this leakage?

"
159," I called their customer care multiple times but there was no proper response. After continuously following up for 10 days, a service technician finally came after a month and was able to fix the leakage temporarily. The issues continued. While the leakage was fixed, now the purifier started taking too much time to purify water and also started wasting a lot of water during the process. I again started calling the Eureka Forbes customer care regularly to complain. They would assure me everytime that they were sending a technician within 24 hours, but no one would turn up for weeks.After waiting for a month, the technician came and said I need to install an additional filter in the purifier, which would cost me Rs. 380 extra. I had no choice but to agree and get it installed.

</INST>. Did installing this extra filter solve all the water purifier problems?

</s> <s><INST> No, even after installing the additional filter, I continued to face problems frequently. I had to call them multiple times again for the same issues. Then another technician came after a month and said the RO membrane had to be replaced. There was some improvement after the membrane was changed. But after about 1 week, the purifier stopped working again. Each time it would work only for a few days and then break down again.

","Very frustrating experience you have had. After all these issues, what did the company technicians finally say? 

"
160," Technician was of the opinion that it is better to go for replacement of the product. Based on this I asked for the refund or replacement but the company said that the water purifier can not be replaced or returned only within 30 days of purchase as per the company’s terms and conditions. After this I registered a grievance on the consumer helpline website on 15-04-2021, vide No.2679203, after 3 months, I got a mail stating that “intimated customer as per policy can not refund or replace the unit after purchase of 10 months”.

","See the machine was not working since day one and there have been multiple attempts to approach the opposite party. I would also recommend you send the legal notice to the opposite party.

"
161," Yes, please draft the notice and ask for the replacement of the water purifier. 

","I would draft the complaint and the notice. But for this I need some additional information, like the name of the parties, your name and the name and address of the opposite party. Kindly noted that we will have 2 opposite parties, Eureka Forbes Ltd and Amazon India. 

"
162," You can mention my address as Gouni Sai Charan Reddy, S/o Gouni Harshavardhan Reddy, aged 20 years, Occ: Student, R/o H.No.16-61, Sai Ram Veterinary Medical Stores, Opposite Bus Stand In-gate, Srinivasa Colony, Atmakur mandal, Wanaparthy District. 
The opposite parties address are: 1.. The Authorised Signatory, Eureka Forbes Ltd., Corporate Office B1/B2, 701, 7th Floor, Marathon Innova Marathon NextGen, Off Ganpatrao Kadam Marg, Lower Parel, Mumbai - 400 013. 2. The Authorised Signatory, Amazon India, Brigade Gateway, 8th Floor, 26/1, Dr. Rajkumar Road, Malleshwaram (W), Bangalore - 560055, Karnataka.

","Could you please tell what relief you expect, for deficiency in service on the part of the opposite party. 

"
163," I would like  to get a water purifier of  the same model or return costs of the water purifier along with interest and to Rs.20,000/- towards compensation for adopting unfair trade practice, mental agony and deficiency of service and Rs.10,000/- towards costs of the complaint to the complainant.

","Here is the notice that you can send to both the opposite parties. In case you get any problem in the above process or have any doubt, I would suggest you contact the National Consumer Helpline at 1800-11-4000 for information, advice, or guidance on complaints. You can also call 14404 or send a message to 8130009809. You can also register a complaint through the NCH app. Is there anything else you need?

"
164," What if you do not get any reply to the legal notice. What other remedy do I have?

","You can draft a consumer complaint against both the opposite parties. 

"
165," Thank you for your advice. Can you draft a consumer complaint so that I can file a complaint in case I do not get a positive reply through the medium of notice? 

","Yes, sure. I would also like to inform you that you can file the complaint in Mumbai, Mahabubnagar and Bangalore. Which option do you prefer?

"
166," I would like to file the complaint in Mahabubnagar. 


","I have carefully documented all the facts and timeline. I will help draft a consumer complaint so you can get a replacement or refund at the earliest. Let's proceed with filing it. Please provide information about the evidence that you have like the invoice and other proofs.

"
167," I have evidence such  as the invoice, call log, the proof of consumer grievances redressal with the company technicians and other documents. Please share the draft.

","You're most welcome Mr. Consumer. Thank you. On the basis of the information that you have given me, I have drafted a pre-filled complaint that you can access here. Please fill in the details that have been left blank, such as the date and your signature. In addition to the complaint, you must also submit an affidavit and a document called the “Memorandum of Parties”. Do you want me to provide you with the pre-filled versions of the same?

"
168," Yes, it will be great if you can do that as well.
","You can access the Affidavit here and the Memorandum of Parties here. You are required to fill in the details that have been left empty in both the documents. Further, you must get the affidavit notarised. In case of any queries regarding how you can get the Affidavit notarised, feel free to approach me anytime. After filling all the documents and getting the affidavit notarised, you can file your complaint on E-daakhil, the portal for consumer redressal. Do you want me to provide you with a step-by-step guide on how to file your complaint on E-daakhil?
"
169," Yes, it will be great if you can give me a step-by-step guide on how I can file this.
","You have to follow these steps in order to file a complaint:-
Create an account on E-daakhil.
Verify your email address and login
Go to “Consumer Complaint” and accept the terms and conditions by clicking the “accept” button after carefully reading the terms. If you have any queries regarding the terms, please let me know.
Click “Consumer Complaint” and enter the claim amount that you are seeking.  
Select Telangana as the State and Mahaboob nagar as the district. Click continue to proceed to the “Case Details” page.
On the “Case Details” page, enter all the necessary details and in case of any queries, please let me know.
In the “Party Name” section, enter the name of the parties. In the “Advocate” Section, enter the details of your advocate and if you do not have an advocate, you can leave it blank.
 In the “Complaint Section”, you can provide the brief of  your complaint:-
In the next section, enter the necessary details and attach a filled copy of the Complaint and the Affidavit along with the Memorandum of Parties. 
In the next section, verify the details of your complaint and submit your complaint.
On the “Pending Complaints” page, you will be required to pay the necessary fees.  
Please note that under the Consumer Protection Act 2019, the Consumer Court can request the parties to go for mediation. However, both parties must agree for the matter to be sent for mediation. However, if the parties do not arrive at an amicable settlement, the matter is sent back to the court.
"
170," Got it. I will not agree for mediation.
","In that case, the consumer court in Mahabubnagar has to proceed with the case.
"
171," Got it. Thank you very much!
",You are welcome. Feel free to raise further queries anytime. Best wishes.
172," My Samsung LED TV broke in the checked- in baggage at the airport.

","Okay Mr. Murugesan, before we begin discussing the specifics of your case, I'd like to get some background information. What do you do for a living? This helps provide context when drafting the complaint.

"
173," I'm a professional cricket player and represent the Tamil Nadu Ranji cricket team in domestic tournaments. 

","Can you please explain to me, in your own words, what is the complaint about?

"
174," On January 29, 2017 I was returning from Saudi Arabia to Trichy, India via a connecting flight in Mumbai. When I landed in Mumbai around 6am and went to collect my checked-in baggage for the connecting flight, I found my suitcase was damaged and open. To my shock, the Samsung LED TV I had carefully packed in the baggage was completely smashed and broken. 

","Can you please tell me, what did you do after discovering the damage? 

"
175," Well, after seeing the damage, I immediately approached the Jet Airways staff present in the baggage area in Mumbai. I reported the damage to them. The staff gave me a baggage damage report with the file number BOM9W55305 as proof of my complaint. They assured me they would investigate and resolve the matter and that I would be compensated with either a new TV or equivalent cash when I reached Trichy. 

","what happened when you arrived in Trichy - were you provided any compensation as assured?

"
176," No, unfortunately not. When I reached Trichy airport, Jet Airways did not provide any replacement TV or cash compensation, even though they had promised to do so in Mumbai. 

","Apologies you had to face that additional stress. Can you please tell me if you followed up with Jet Airways subsequently regarding compensation? 

"
177," Yes, I did follow up multiple times. On February 10, 2017 I emailed Jet Airways customer care informing them about the baggage damage and lack of compensation. They responded saying they would address my query in 24 hours, but never did. After waiting patiently for over 2 months, I sent Jet Airways a legal notice on April 3, 2017 demanding compensation. 

","Did Jet Airways respond to your legal notice and offer a resolution?

"
178," They sent a very late reply to my notice on May 5, 2017. In their reply they asked for documents like my ticket and boarding pass which I had already provided earlier.

","I appreciate you sharing all those details. Just to confirm, do you have copies of the supporting documents like damage report, legal notice, Jet Airways' reply etc which can be attached as evidence to the complaint?

"
179," Yes, I have all the relevant documents and can provide copies - the damage report, TV cash memo, flight and excess baggage tickets, email correspondence, legal notice and Jet's reply. I can share these as exhibits to support the complaint.

","That is very helpful. Those documents will strengthen your case. A few more questions - what compensation amount are you seeking through the consumer complaint?

"
180," I would like to seek Rs. 50,000 as compensation for the damaged TV, Rs. 30,000 for mental harassment, Rs. 10,000 for deficiency in service and Rs. 10,000 as litigation charges.

","Got it. And lastly, can you please confirm your full residential address for the complaint drafting? Also, which consumer court do you want to file the complaint in, based on whose jurisdiction?

"
181," My full address is - M. Murugesan, S/o Muniyandi, D.No.4/150, Ayyanarpuram, Chinthamani Road, Madurai District. 

","As you reside in Madurai, the consumer complaint can be filed in the District Consumer Disputes Redressal Commission, Madurai, you can also file it in Trichy and Mumbai where the opposite party office is located. Where would you like to file the complaint?

"
182," I would like to file a complaint in Madurai.

","Kindly upload all the documents that you feel can be helpful to draft the complaint. Also I suggest you send one more legal  notice to the opposite party and then proceed with complaint. Would you like me to draft a notice?

"
183," Yes, Kindly draft the complaint and notice.  I have uploaded the documents.

","Thank you. On the basis of the documents that you have given me, I have drafted a pre-filled notice that you can access here and the complaint that you can access here. Please fill in the details that have been left blank, such as the date and your signature. In addition to the complaint, you must also submit an affidavit and a document called the “Memorandum of Parties”. Do you want me to provide you with the pre-filled versions of the same?

"
184," Yes, it will be great if you can do that as well.
","You can access the Affidavit here and the Memorandum of Parties here. You are required to fill in the details that have been left empty in both the documents. Further, you must get the affidavit notarised. In case of any queries regarding how you can get the Affidavit notarised, feel free to approach me anytime. After filling all the documents and getting the affidavit notarised, you can file your complaint on E-daakhil, the portal for consumer redressal. Do you want me to provide you with a step-by-step guide on how to file your complaint on E-daakhil?
"
185," Yes, it will be great if you can give me a step-by-step guide on how I can file this.
","You have to follow these steps in order to file a complaint:-
Create an account on E-daakhil.
Verify your email address and login
Go to “Consumer Complaint” and accept the terms and conditions by clicking the “accept” button after carefully reading the terms. If you have any queries regarding the terms, please let me know.
Click “Consumer Complaint” and enter the claim amount that you are seeking.  
Select Tamil Nadu as the State and Madurai as the district. Click continue to proceed to the “Case Details” page.
On the “Case Details” page, enter all the necessary details and in case of any queries, please let me know.
In the “Party Name” section, enter the name of the parties. In the “Advocate” Section, enter the details of your advocate and if you do not have an advocate, you can leave it blank.
 In the “Complaint Section”, you can provide the following as your complaint:-
“The complainant, a cricket player and Jet Airways customer, experienced damage to his suitcase and Samsung LED TV during a flight in January 2017. Despite assurances from Jet Airways staff for compensation, the promised resolution was not provided upon reaching Trichy Airport. After unsuccessful attempts to resolve the issue through customer care, the complainant sent a legal notice, receiving a delayed response denying responsibility. Allegations include deficient service, unfair trade practices, and intentional delays by Jet Airways, causing distress to the complainant. .”
In the next section, enter the necessary details and attach a filled copy of the Complaint and the Affidavit along with the Memorandum of Parties. 
In the next section, verify the details of your complaint and submit your complaint.
On the “Pending Complaints” page, you will be required to pay the necessary fees.  
Please note that under the Consumer Protection Act 2019, the Consumer Court can request the parties to go for mediation. However, both parties must agree for the matter to be sent for mediation. However, if the parties do not arrive at an amicable settlement, the matter is sent back to the court.
"
